id,monday_id,campaign_name,company,status,budget,take_rate_pct,proposal_adjustments,seller_name,csm,list_builder,building_proposal_start,pending_approval_start,days_since_pending,risk_score,ai_insight,action_required,created_at,seller_sla,lb_sla,currency,proposal_delivery_date,audience_country,musical_genre,days_after_approved,Execution board start date
A3351,3351,"Myke Towers ""Soleado""",Warner Regional Latam,Approved,10000,,,Steven Campos,,,2025-05-28,2025-05-29,,,,,2025-05-28,,,,,US LATIN,Reggaeton,0.00,2025-05-29
A3282,3282,Kobi Cantillo “Se Te Reza”,Universal Music Latin,Approved,5000,,1,Steven Campos,,,2025-05-19,2025-05-29,,,,,2025-05-19,,,,,US LATIN,Urbano,0.00,2025-05-29
A3346,3346,"Blessd ""Amista""",Warner Music Mexico,Approved,2570,,,Steven Campos,,valentina.semprun@influur.com,2025-05-29,2025-05-30,,,,,2025-05-29,,,,,MEX,Reggaeton,0.00,2025-05-30
A3310,3310,"Jesse & Joy ""Empinar El Codo""",Warner Music Mexico,Approved,3000,,,Steven Campos,,Juan Val,2025-05-28,2025-05-30,,,,,2025-05-28,,,,,MEX,Pop,0.00,2025-05-30
A3151,3151,“La T3ta Afuera” Phase 2,Universal Music Latin,Approved,5000,,,Steven Campos,,Juan Val,2025-06-03,2025-06-03,,,,,2025-06-03,,,,,"MEX, US LATIN, DR",Urbano,0.00,2025-06-03
A3205,3205,"Yandel, Dei V, Square Houze ""Replay"" Social Spread",Warner Music Latina Inc.,Approved,3100,,,Steven Campos,,,2025-06-04,2025-06-04,,,,,2025-06-04,,,,,"COL, PR",Reggaeton,0.00,2025-06-04
A3250,3250,"Oscar Maydon ""Rico o Muerto, Vol.1"" Social Spread",Sony Music Latin,Approved,8000,,1,Steven Campos,,,2025-06-06,2025-06-06,,,,,2025-06-06,,,,,MEX,Regional MX,0.00,2025-06-06
A3268,3268,"Belinda ""+Perra +Bicth"" Dance Trend",Warner Music Mexico,Approved,4000,,,Steven Campos,,,2025-06-06,2025-06-06,,,,,2025-06-06,,,,,MEX,Reggaeton,0.00,2025-06-06
A3270,3270,"Myke Towers ""Soleao"" Djs",Warner Music Mexico,Approved,1600,,,Steven Campos,,camila.parra@influur.com,2025-06-06,2025-06-06,,,,,2025-06-06,,,,,MEX,Reggaeton,0.00,2025-06-06
A3317,3317,"Myke Towers ""Soleado"" Mids",Warner Music Mexico,Approved,1200,,,Steven Campos,,,2025-06-05,2025-06-06,,,,,2025-06-05,,,,,MEX,Reggaeton,0.00,2025-06-06
A3277,3277,"Myke Towers & Quevedo ""Soleao"" Key",Warner Music Latina Inc.,Approved,2000,,,Steven Campos,,Juan Val,2025-06-06,2025-06-06,,,,,2025-06-06,,,,,US LATIN,Urbano,0.00,2025-06-06
A3387,3387,"Ovy on the drums, Beele & Quevedo ""Yo y Tu"" Key Talent",Warner Music Mexico,Approved,3700,,,Steven Campos,,camila.parra@influur.com,2025-06-13,2025-06-13,,,,,2025-06-13,,,,,MEX,Reggaeton,0.00,2025-06-13
A3381,3381,"Arcángel ""Gohan y Gokú"" Streamers",XYZ,Approved,3780,,,Steven Campos,,camila.parra@influur.com,2025-06-12,2025-06-13,,,,,2025-06-12,,,,,US LATIN,"Trap, Urbano",0.00,2025-06-13
A3004,3004,"Nico Parga ""Bogota""",XYZ,Approved,3000,,,Steven Campos,,,2025-06-16,2025-06-16,,,,,2025-06-16,,,,,MEX,Electronica,0.00,2025-06-16
A3304,3304,"Armanii ""Jump""",XYZ,Approved,2500,,1,Steven Campos,,"camila.parra@influur.com, Julius Breyer",2025-06-09,2025-06-17,,,,,2025-06-09,,,,,"US Anglo, Africa",Urbano,0.00,2025-06-17
A3153,3153,"Bebo Dumont ""Velas""",XYZ,Approved,3350,,,Steven Campos,,valentina.semprun@influur.com,2025-06-18,2025-06-18,,,,,2025-06-18,,,,,"MEX, COL",Alternativo,0.00,2025-06-18
A3308,3308,"Kiko el Crazy ""Cambio y Fuera""",XYZ,Approved,2000,,,Steven Campos,,"camila.parra@influur.com, Julius Breyer",2025-06-19,2025-06-19,,,,,2025-06-19,,,,,"RD, LATAM",Dembow,0.00,2025-06-19
A3050,3050,"Golden ""Saoko Vol.1""",1983 Creative,Approved,6000,,,Polina Andrieieva,,Genesis Martinez,2025-06-25,2025-06-25,,,,,2025-06-17,,,,,COL,reggaeton,0.00,2025-06-25
A3189,3189,"Ravyn ""Love Me Not""",Warner Regional Latam,Approved,7000,,,Steven Campos,,"camila.parra@influur.com, Juan Val",2025-06-25,2025-06-25,,,,,2025-06-25,,,,,"MEX, BR",Pop,0.00,2025-06-25
A3230,3230,"Sombr ""Back To Friends""",Warner Regional Latam,Approved,10000,,,Steven Campos,,,2025-06-25,2025-06-25,,,,,2025-06-25,,,,,"MEX, BR",Pop,0.00,2025-06-25
A3109,3109,"Ovy on the drums, Quevedo & Beele ""Yo y tu"" IG",Warner Regional Latam,Approved,20000,,,Steven Campos,,Juan Val,2025-06-27,2025-06-27,,,,,2025-06-27,,,,,"US, US LATIN",Reggaeton,0.00,2025-06-27
A3435,3435,"Camilo ""Maldito Chatgpt"" - Meta & Sony Latin","Meta Platforms, Inc.",Approved,30000,,2,No asignado,,"camila.parra@influur.com, Carolina Anaya",2025-06-20,2025-06-27,,,,,2025-06-20,,,,,US LATIN,Pop,0.00,2025-06-27
A3119,3119,"Alu Mix ""Nostalgia"" Micros",Warner Music Mexico,Approved,1500,,,Steven Campos,,"Juan Val, Genesis Martinez",2025-06-27,2025-06-27,,,,,2025-06-27,,,,,MEX,Reggaeton,0.00,2025-06-27
A3241,3241,"Danny Ocean & Kenia Os ""Ay Mami"" Micros",Warner Music Mexico,Approved,4000,,,Steven Campos,,camila.parra@influur.com,2025-06-30,2025-06-30,,,,,2025-06-30,,,,,MEX,Urbano,0.00,2025-06-30
A3251,3251,"Sofia Castro ""Estoy feliz por ti""",Universal Music Latin,Approved,5000,,,Steven Campos,,Genesis Martinez,2025-07-01,2025-07-01,,,,,2025-07-01,,,,,"MEX, COL",POP,0.00,2025-07-01
A3327,3327,"Karol G ""Tropicoqueta Tracks""",Interscope Records,Approved,15000,,,Steven Campos,,valentina.semprun@influur.com,2025-07-08,2025-07-09,,,,,2025-07-08,,,,,"US LATIN, LATAM",Merengue,0.00,2025-07-09
A3349,3349,"Danny Ocean & Kenia Os ""Ay Mami"" Mid Hombres",Warner Music Mexico,Approved,5000,,3,Steven Campos,,Genesis Martinez,2025-07-02,2025-07-10,,,,,2025-07-02,,,,,MEX,"Reggaeton, Pop",0.00,2025-07-10
A3342,3342,"Maná ""Vivir sin aire' (Versión Regional) - Covers",Warner Music Mexico,Approved,2500,,,Steven Campos,,"camila.parra@influur.com, Julius Breyer",2025-07-10,2025-07-10,,,,,2025-07-10,,,,,MEX,"Balada, Regional",0.00,2025-07-10
A3243,3243,"Ovy on the drums, Quevedo & Beele ""Yo y tu"" US Latin",Warner Regional Latam,Approved,5000,,,Steven Campos,,,2025-07-09,2025-07-10,,,,,2025-07-09,,,,,US LATIN,Reggaeton,0.00,2025-07-10
A3249,3249,"Karol G ""Papasito"" Phase 2",XYZ,Approved,16700,,1,Steven Campos,,Juan Val,2025-07-10,2025-07-11,,,,,2025-07-10,,,,,"COL, MEX, ESP, US LATIN",Reggaeton,0.00,2025-07-11
A3382,3382,"Karol G ""Tropicoqueta"" (Wishlist) BR",Interscope Records,Approved,4600,,,Steven Campos,,,2025-07-14,2025-07-14,,,,,2025-07-14,,,,,"BR, COL",Merengue,0.00,2025-07-14
A3386,3386,"Danny Ocean & Kenia Os ""AyMami"" - Miss Cuba",Warner Music Latina Inc.,Approved,1500,,,Steven Campos,,camila.parra@influur.com,2025-07-14,2025-07-14,,,,,2025-07-14,,,,,US LATIN,Reggaeton,0.00,2025-07-14
A3332,3332,"SAI ""Ponte de espalda"" - Miami",Warner Music Latina Inc.,Approved,700,,,Steven Campos,,"camila.parra@influur.com, Juan Val",2025-07-10,2025-07-16,,,,,2025-07-10,,,,,"LATAM, US LATIN",Reggaeton,0.00,2025-07-16
A3079,3079,"AluMix ""Nostalgia .0002 Lagrimas""",Warner Music Mexico,Approved,1800,,1,Camila Parra,,,2025-07-16,2025-07-17,,,,,2025-07-16,,,,,MEX,Reggaeton,0.00,2025-07-17
A3049,3049,"Magna, Gregorio Umaña - Grabacion con creadores en CDMX","Hybe Latin America US, Inc.",Approved,6300,,1,Polina Andrieieva,,,2025-07-15,2025-07-17,,,,,2025-07-15,,,,,MEX,Pop,0.00,2025-07-17
A3279,3279,Gera Demara “Amé” Social Spread,Warner Music Mexico,Approved,2000,,,Camila Parra,,Juan Val,2025-07-18,2025-07-18,,,,,2025-07-18,,,,,MEX,Regional,0.00,2025-07-18
A3257,3257,"Elena Rose & Jquiles ""Cosita Linda"" - Dog Lovers",Warner Music Mexico,Approved,4200,,,Camila Parra,,camila.parra@influur.com,2025-07-17,2025-07-18,,,,,2025-07-17,,,,,MEX,POP,0.00,2025-07-18
A3218,3218,Myke Towers - CDMX Party Bus,Warner Music Mexico,Approved,5000,,,Camila Parra,,,2025-07-16,2025-07-18,,,,,2025-07-16,,,,,MEX,Reggaeton,0.00,2025-07-18
A3260,3260,"Elena Rose & Jquiles ""Cosita Linda"" - Couples",Warner Music Mexico,Approved,2100,,,Camila Parra,,Juan Val,2025-07-17,2025-07-18,,,,,2025-07-17,,,,,MEX,Reggaeton,0.00,2025-07-18
A3322,3322,"Dennis DJ, Luisa Sonza, Emilia ""Motinha 2.0 (Mete Marcha) Remix""","5020 Records, Sony Music",Approved,7500,,,Camila Parra,,Polina Andrieieva,2025-07-21,2025-07-21,,,,,2025-07-21,,,,,"US, US LATIN",Funk,0.00,2025-07-21
A3152,3152,"Elena Rose & Jquiles ""Cosita Linda"" - Quotes",Warner Music Latina Inc.,Approved,3000,,,Camila Parra,,,2025-07-23,2025-07-24,,,,,2025-07-23,,,,,"US LATIN, LATAM",Pop,0.00,2025-07-24
A3265,3265,Marco Marroquin -  Ni que fuera de hule,XYZ,Approved,2000,,,Polina Andrieieva,,camila.parra@influur.com,2025-07-25,2025-07-25,,,,,2025-07-25,,,,,MEX,Corridos,0.00,2025-07-25
A3321,3321,"Maluma ""Bronceador"" Fase 2",royaltyworldinc.com,Approved,15000,,,Polina Andrieieva,,"Juan Val, Polina Andrieieva",2025-07-28,2025-07-28,,,,,2025-07-28,,,,,"US LATIN, LATAM",Reggaeton,0.00,2025-07-28
A3400,3400,Danny Ocean “Babylon Club” Explainers,Warner Regional Latam,Approved,2000,,,Steven Campos,,camila.parra@influur.com,2025-07-30,2025-07-31,,,,,2025-07-30,,,,,MEX,Reggaeton,0.00,2025-07-31
A3412,3412,Marconi Impara “Que Rica” lyrics,Rimas Entertainment LLC,Approved,2000,,,Steven Campos,,camila.parra@influur.com,2025-08-01,2025-08-01,,,,,2025-08-01,,,,,PR,reggaeton,0.00,2025-08-01
A3411,3411,"Danny Ocean ""Babylon Club"" x JoseM",Warner Music Latina Inc.,Approved,2200,,,Steven Campos,,Juan Val,2025-08-04,2025-08-04,,,,,2025-08-04,,,,,MEX,"Pop, Merengueton",0.00,2025-08-04
A3419,3419,Danny Ocean “Corazon” Key Talent,Warner Regional Latam,Approved,5000,,,Steven Campos,,Juan Val,2025-08-04,2025-08-05,,,,,2025-08-04,,,,,"US LATIN, MEX",Pop,0.00,2025-08-05
A3407,3407,"Beele ""Quedate"" US Latin","5020 Records, Sony Music",Approved,20000,,1,Steven Campos,,Juan Val,2025-07-31,2025-08-05,,,,,2025-07-31,,,,,US LATIN,Reggaeton,0.00,2025-08-05
A3126,3126,"Brokix x Jhay P ""Flores""",Universal Music Latin,Approved,10000,,,Steven Campos,,Juan Val,2025-08-12,2025-08-13,,,,,2025-08-12,,,,,COL,reggaeton,0.00,2025-08-13
A3427,3427,"Danny Ocean ""Corazon"" @mayandnate",Warner Music Latina Inc.,Approved,1400,,,Steven Campos,,Genesis Martinez,2025-08-15,2025-08-15,,,,,2025-08-15,,,,,US,Pop,0.00,2025-08-15
A3440,3440,Marianaperalta Package Montlhy #2 - Music,Warner Regional Latam,Approved,2400,,,Steven Campos,,Juan Val,2025-08-15,2025-08-15,,,,,2025-08-15,,,,,MEX,Urbano,0.00,2025-08-15
A3446,3446,BLACKPINK - JUMP,"Meta Platforms, Inc.",Approved,30000,,1,No asignado,,Juan Val,2025-08-08,2025-08-21,,,,,2025-08-08,,,,,"US, Korea",K Pop,0.00,2025-08-21
A1028,1028,Ana Sofi W “Odio a primera vista” Micros,Warner Music Mexico,Approved,1500,,,Steven Campos,Camila Parra,camila.parra@influur.com,2025-08-22,2025-08-22,,,,,2025-08-22,,,,,MEX,POP,0.00,2025-08-22
A1026,1026,JerryDi x Hungry Post Miami,Universal Music Latin,Approved,5300,,,Steven Campos,Camila Parra,Juan Val,2025-08-21,2025-08-22,,,,,2025-08-21,,,,,Miami,Dembow,0.00,2025-08-22
A3198,3198,"Natanael Cano ""Bellakita"" with Tiktok",Tiktok,Approved,4000,,1,No asignado,,,2025-08-25,2025-08-27,,,,,2025-08-25,,,,,MEX,Reggaeton,0.00,2025-08-27
A1031,1031,Manuel Turizo “Mirame Ahora”,Sony Music Latin,Approved,24200,,2,Steven Campos,Camila Parra,camila.parra@influur.com,2025-08-21,2025-08-28,,,,,2025-08-21,,,,,"COL, PER, SPAIN, MEX, GUA, ARG, CR, CHI",Reggaeton,0.00,2025-08-28
A1030,1030,"Junior Zamora ""Sagitario"" Micros",Sony Music Entertainment Colombia SAS,Approved,3000,,,Steven Campos,Camila Parra,Juan Val,2025-09-03,2025-09-03,,,,,2025-09-03,,,,,COL,"R&B, Urbano",0.00,2025-09-03
A1025,1025,"Kobi Cantillo ""Que fastidio que seas mi ex"" Micros",Universal Music Latin,Approved,2000,,,Steven Campos,Camila Parra,Juan Val,2025-09-08,2025-09-09,,,,,2025-09-08,,,,,"MX, COL, US LATIN",Pop,0.00,2025-09-09
A3438,3438,"Tania Y Abraham ""Óshun Yesá"" Campaign",Roc Nation,Approved,10000,,,Justin Nho,,Juan Val,2025-09-10,2025-09-10,,,,,2025-09-10,,,,,"US LAT, MX, SPAIN, PR, RD",,0.00,2025-09-10
A81,81,Karol G Concert Paris,Interscope Records,Declined,40000,,,Steven Campos,Polina Andrieieva,valentina.semprun@influur.com,2025-08-29,2025-09-10,,,,,2025-08-29,,,,2025-09-10,,,0.00,2025-09-10
A1121,1121,"Alvaro Diaz - ""Seleda""",UNIVERSAL MUSIC COLOMBIA SAS,Approved,1500,25,,Steven Campos,Polina Andrieieva,Juan Val,2025-09-26,2025-09-26,,,,,2025-09-26,,,,,Colombia (1st country) Peru y Ecu (2nd - 3rd),,0.00,2025-09-26
A1122,1122,"Sebastián Yatra ""Canción Para Regresar""",UNIVERSAL MUSIC COLOMBIA SAS,Approved,2300,25,1,Steven Campos,Polina Andrieieva,Juan Val,2025-09-26,2025-09-26,,,,,2025-09-26,,,,,"Col (1st), ECU, PER (2nd-3rd)",,0.00,2025-09-26
A1123,1123,"Feid ""Rumor""",UNIVERSAL MUSIC COLOMBIA SAS,Approved,1000,25,,Steven Campos,Polina Andrieieva,Genesis Martinez,2025-09-26,2025-09-26,,,,,2025-09-26,,,,,"Colombia (1s), PER, ECU (2nd-3rd)",,0.00,2025-09-26
A1077,1077,Arlene MC - Celoso,Roc Nation,Approved,10000,25,,Steven Campos,Justin Nho,"Julius Breyer, Juan Val",2025-09-25,2025-09-26,,,,,2025-09-25,,,,,"U.S. Latin, Spain, Dominican Republic, Colombia, Mexico",,0.00,2025-09-26
A1040,1040,"Alvaro Diaz ""Seleda""",Universal Music Latin,Approved,25000,25,2,Steven Campos,Camila Parra,"Carolina Anaya, camila.parra@influur.com, Genesis Martinez, valentina.semprun@influur.com",2025-09-24,2025-09-26,,,,,2025-09-24,,,,,"Mexico, Puerto Rico - US & Colombia",,0.00,2025-09-26
A1043,1043,"Elena Rose ""Bendito Verano"" Social Spread",Warner Music Latina Inc.,Approved,5000,25,,Steven Campos,Camila Parra,valentina.semprun@influur.com,2025-09-29,2025-09-29,,,,,2025-09-29,,,,,,,0.00,2025-09-29
A1124,1124,Chimbala - Peligrosa (perfil baile),XYZ,Approved,3020,16,1,Steven Campos,Polina Andrieieva,valentina.semprun@influur.com,2025-09-19,2025-09-29,,,,,2025-09-19,,,,,Spain,,0.00,2025-09-29
A1127,1127,"Alvaro Diaz ""Seleda"" micros",UNIVERSAL MUSIC COLOMBIA SAS,Approved,1000,25,,Steven Campos,Polina Andrieieva,valentina.semprun@influur.com,2025-09-30,2025-09-30,,,,,2025-09-30,,,,,Col,reggaeton,0.00,2025-09-30
A1045,1045,"The Marias ""Sienna""",Warner Regional Latam,Approved,400,25,,Steven Campos,Camila Parra,Juan Val,2025-09-30,2025-09-30,,,,,2025-09-30,,,,,,,0.00,2025-09-30
A1046,1046,"Elena Rose ""Cosita Linda"" Reel Extra",Warner Regional Latam,Approved,168.75,25,,Steven Campos,Camila Parra,valentina.semprun@influur.com,2025-09-30,2025-09-30,,,,,2025-09-30,,,,,MX,,0.00,2025-09-30
A1128,1128,"Feid ""Ru Mor"" micros",UNIVERSAL MUSIC COLOMBIA SAS,Approved,1000,25,,Steven Campos,Polina Andrieieva,Juan Val,2025-09-30,2025-09-30,,,,,2025-09-30,,,,,Col,,0.00,2025-09-30
A1129,1129,"Sebastian Yatra ""Cancion para regresar"" micros",UNIVERSAL MUSIC COLOMBIA SAS,Approved,1000,25,,Steven Campos,Polina Andrieieva,,2025-09-30,2025-09-30,,,,,2025-09-30,,,,,Col,,0.00,2025-09-30
A1146,1146,"Karol G ""Escapate Conmigo"" - Seeding",Interscope Records,Approved,8000,25,,Steven Campos,Polina Andrieieva,valentina.semprun@influur.com,2025-10-11,2025-10-11,,,,,2025-10-11,,,,,LATAM,,0.00,2025-10-11
A1053,1053,Pascal - Miami Content Day,Nevarez Communications,Approved,1200,25,,Steven Campos,Camila Parra,valentina.semprun@influur.com,2025-10-10,2025-10-13,,,,,2025-10-10,,,,,US Latin & Latam,,0.00,2025-10-13
A1152,1152,Delilah- La Peli,Interscope Records,Approved,3000,25,,Steven Campos,Polina Andrieieva,valentina.semprun@influur.com,2025-10-17,2025-10-17,,,,,2025-10-17,,,,,MX,,0.00,2025-10-17
A1061,1061,"Nathy Peluso ""A Caballo""","5020 Records, Sony Music",Approved,5000,25,,Steven Campos,Camila Parra,Juan Val,2025-10-22,2025-10-22,,,,,2025-10-22,,,,,,,0.00,2025-10-22
A1161,1161,Rolex Presidente - Gabito Ballesteros,"Hybe Latin America US, Inc.",Approved,8000,25,,Steven Campos,Polina Andrieieva,valentina.semprun@influur.com,2025-10-24,2025-10-24,,,,,2025-10-24,,,,,Mexico,,0.00,2025-10-24
A1064,1064,Jisoo ft. Zayn “Eyes Closed”,Warner Regional Latam,Approved,10000,25,,Steven Campos,Camila Parra,valentina.semprun@influur.com,2025-10-23,2025-10-24,,,,,2025-10-23,,,,,MX & BR,,0.00,2025-10-24
A1165,1165,Matisse - Conmigo Sin Ti,Sony Music Mexico,Approved,10850,25,1,Steven Campos,Polina Andrieieva,valentina.semprun@influur.com,2025-10-24,2025-10-27,,,,,2025-10-24,,,,,mx,,0.00,2025-10-27
A1071,1071,"Rivs x Juanes ""Beso de novela"" Micros",Warner Music Mexico,Approved,2500,25,,Steven Campos,Camila Parra,Juan Val,2025-10-29,2025-10-29,,,,,2025-10-29,,,,,Mexico,,0.00,2025-10-29
A1074,1074,"Maria Becerra ""Album Release"" Social Spread",Warner Music Latina Inc.,Approved,7400,25,,Steven Campos,Camila Parra,Juan Val,2025-10-30,2025-10-30,,,,,2025-10-30,,,,,"US, Latam",Urbano,0.00,2025-10-30
A1073,1073,"Blessd ""Diomedez""",Warner Regional Latam,Approved,10000,25,,Steven Campos,Camila Parra,Juan Val,2025-10-29,2025-10-30,,,,,2025-10-29,,,,,MX & COL,Urbano,0.00,2025-10-30
A1168,1168,Concierto Rauw Alejandro CDMX,Sony Music Mexico,Approved,5000,25,,Steven Campos,Polina Andrieieva,Juan Val,2025-10-27,2025-10-30,,,,,2025-10-27,,,,,Mexico,,0.00,2025-10-30
A1171,1171,"ZION Y LENNOX ""Bandolera"" Phase 2",XYZ,Approved,2680,16,,Steven Campos,Polina Andrieieva,valentina.semprun@influur.com,2025-10-31,2025-11-03,,,,,2025-10-31,,,,,"ARG, COL",Reggaeton,0.00,2025-11-03
A1170,1170,Musza - Bonnie & Clyde (micros),"Hybe Latin America US, Inc.",Approved,2500,25,,Steven Campos,Polina Andrieieva,Genesis Martinez,2025-11-03,2025-11-03,,,,,2025-11-03,,,,,mx,,0.00,2025-11-03
A3476,3476,"Elena Rose ""Amen Bebe"" Key Talent",Warner Music Latina Inc.,Approved,10000,25,1,Steven Campos,Camila Parra,Juan Val,2025-10-28,2025-11-05,,,,,2025-10-28,,,,,US Latin (Venezolanos en US),,0.00,2025-11-05
A3486,3486,"Nathy Peluso ""MALPORTADA"" US Latin Campaign",Meta Platforms,Approved,21000,25,,Steven Campos,Justin Nho,Juan Val,2025-11-10,2025-11-10,,,,,2025-11-10,,,,,US Latin,,0.00,2025-11-10
A3487,3487,"Elena Rose ""AMEN BEBE"" US Latin Campaign",Meta Platforms,Approved,21000,25,,Steven Campos,Justin Nho,Genesis Martinez,2025-11-10,2025-11-10,,,,,2025-11-10,,,,,US Latin,,0.00,2025-11-10
A3489,3489,"Blessd ""Buenos Dias"" Micros",Warner Regional Latam,Approved,8000,25,,Steven Campos,Camila Parra,Juan Val,2025-11-11,2025-11-11,,,,,2025-11-11,,,,,"MX, COL",Urbano,0.00,2025-11-11
A3490,3490,Yami Safdie & Laura Pausini “Eso y más” - Micros,Warner Regional Latam,Approved,8000,25,,Steven Campos,Camila Parra,Juan Val,2025-11-11,2025-11-11,,,,,2025-11-11,,,,,"MEX, COL",pop latino,0.00,2025-11-11
A3495,3495,"Kacey Musgraves x Carin León ""Lost In Translation""",XYZ,Approved,2000,16,1,Steven Campos,Polina Andrieieva,"Juan Val, valentina.semprun@influur.com",2025-11-07,2025-11-13,,,,,2025-11-07,,,,,"US Latin, Mexico",Regional,0.00,2025-11-13
A3510,3510,"Elena Rose ""Luna de miel"" x Lelepons",Warner Regional Latam,Approved,6700,25,,Steven Campos,Camila Parra,Juan Val,2025-11-18,2025-11-18,,,,,2025-11-18,,,,,,,0.00,2025-11-18
A3515,3515,Elena Rose “Alma” Mid-Creators,Warner Music Mexico,Approved,2700,25,1,Steven Campos,Camila Parra,valentina.semprun@influur.com,2025-11-19,2025-11-19,,,,,2025-11-19,,,,,,,0.00,2025-11-19
