Name,Status,List Builder,C. Manager,CSM,Seller,Execution Timeline - Start,Execution Timeline - End,Total Budget,Executed Amount,Executed Take Rate %,Company,# Influencers,# UGC,Internal Handbook,Live Report,Musical Genre,Audience Country,Números,Creative Hashtags,Influencers Budget,Sub-Campaign Budget,Take Rate %,Client Handbook,# Tiktoks,# IG Reels,# IG Posts,# IG Stories,# Youtube,# Streams (Twitch/Kick),Currency,POs/Invoice,# Execution Adjustments,Execution Adjustments Reasons,# Proposal Adjustments,Proposal Adjustments Reasons,PDF Presentation,Proposal,Music List Type,Last Updated,Deal Created Date,Proposal Board Start Date,Building Proposal Start Date,Pending Approval Start Date,Execution Board Start Date,Ongoing Start Date,Building Reports Start Date,Completed Date,Proposal Timeline - Start,Proposal Timeline - End,Subelementos LWT Status,# Posts,# Published,% Progress,Views,Engagement,CPM,CPE(mile),ER%,Seller ID,CSM ID,Hubspot ID,Campaign ID,US List URL,Creative URL,Brief URL,monday Doc v2
"dxledward “Sexii""",Recently Completed,valentina.semprun@influur.com,Paola Benítez,Polina Andrieieva,Steven Campos,12/4/2025,12/12/2025,1264,1090,13.77%,XYZ,8,,https://docs.google.com/spreadsheets/d/11l-N5zA6rJtP5HlXyrXIIGHSur8LebWOgVwOis1aOnE/edit?usp=sharing,https://dashboard.influur.com/client/dxledward-%E2%80%9Csexii--74389-147,Hip Hop / Rap,"Necesitamos perfiles Latinos que vivan en US, acorde a lo que es el Dembow y el estilo Dominicano, aunque por consecuencia estos países también entran:  Puerto Rico, Colombia, Spain. Estos son los territorios core:United States (core markets: New York, New Jersey, Miami, Orlando, Providence, Los Angeles)Dominican Republic MexicoBrazil",,SocialSpread,1061.76,0,16,,1,0,3,0,0,,USD,,,,1,,,,,"Juan Meza Jan 29, 2026 10:05 AM",2025-12-02,,2025-12-02,2025-12-02,2025-12-05,2025-12-05,2026-01-09,,,,"9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 9 - Canceled, 8 - Completed, 9 - Canceled, 9 - Canceled",4,4,100%,,1581,,799,,189598736,414817948,50879537484,5786,,,https://www.tiktok.com/music/Nasty-7557815390596811551?is_from_webapp=1&sender_device=pc,
Bruno Mars - Social Spread,Recently Completed,Genesis Martinez,Margarita Cárdenas,,No asignado,1/9/2026,1/13/2026,3000,2250,25%,Warner Regional Latam,8,,https://docs.google.com/spreadsheets/d/1O2ZZgZ295qvsTlUn6GnyS1BxNN4CfVJ0Yd6nnYD7SCw/edit?usp=sharing,https://music.influur.com/promote/d43d9847-bfa0-4cf3-8dc3-a8bd03062280/share?token=u7TslDAL8bMIzzvAGUpqTNzbEMzeQ1OnetfIUVBHi0o,Pop,"CL, ARG, MEX",,SocialSpread,3000,,,,0,0,8,0,0,,,,,,,,,,,"Esteban Calderon Jan 29, 2026 11:53 PM",,,,,2026-01-09,2026-01-09,2026-01-12,,,,"8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed",8,8,100%,,,,,,,,,5920,,,,
Ozuna & Beele - PR Kit,Recently Completed,valentina.semprun@influur.com,Camila Palacio Torne,Camila Parra,Steven Campos,12/17/2025,12/30/2025,4714,3062,35.04%,"Sony Music Entertainment España, S.L.",3,,https://docs.google.com/spreadsheets/d/1hFF-8NbUCiDx7wXLpidRr7f3tzhC9boPZYzWpKs5lc4/edit?usp=sharing,https://music.influur.com/promote/60eaa9eb-7d80-4857-88f3-182d8e219a49/share?token=LbLuwmFgnH1AojFVGYS5wnKjoQ73K_4sHLjI7bh0ISg,Urbano,Spain,,unboxing,3771.2,0,20,,0,0,0,3,0,,USD,,,,,,,,,"Juan Meza Jan 16, 2026 12:15 PM",2025-12-17,,2025-12-17,2025-12-18,2025-12-18,2025-12-18,2026-01-16,,,,"9 - Canceled, 9 - Canceled, 9 - Canceled, 8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed",3,3,100%,,,,,,189598736,79730684,52002395257,5864,,,,
Floyymenor “Cuéntame”,Recently Completed,Genesis Martinez,Paola Benítez,Polina Andrieieva,Steven Campos,1/12/2026,1/23/2026,6700,5780,13.73%,XYZ,7,,https://docs.google.com/spreadsheets/d/1U3llvVxB0K7V_aN_IsR1OTh2_oP3AiDMT4ETrI9agj8/edit?usp=sharing,https://dashboard.influur.com/client/floyymenor-%E2%80%9Ccu%C3%A9ntame%E2%80%9D--80646-147,,"MEX, ESP, US LATIN",,Dance,5628,0,16,,7,0,0,0,0,,USD,,,,1,,,,,"Juan Meza Feb 7, 2026 5:04 PM",2026-01-06,,2026-01-08,2026-01-07,2026-01-12,2026-01-12,2026-01-23,,,,"9 - Canceled, 8 - Completed, 8 - Completed, 9 - Declined, 8 - Completed, 9 - Declined, 9 - Canceled, 8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed",7,7,100%,,,,,,189598736,414817948,53355755309,5934,,,https://drive.google.com/file/d/18WyAC3muds6tDeSiM5aEfkbsg51tMxy9/view,
Bruno Mars - Dancers,Recently Completed,Juan Val,Margarita Cárdenas,Camila Parra,Steven Campos,1/9/2026,1/23/2026,15000,11250,25%,Warner Regional Latam,19,,https://docs.google.com/spreadsheets/d/1lKhY5KZhx68uihLpe0Le56CJEx9NgWm1nwWT-YZ66xI/edit?usp=sharing,https://music.influur.com/promote/5be9eef3-9e80-4c82-b58f-728cdb1995c6/share?token=jVfqO8BxlMU08JkdU1Ct1TDSM0ZGy79_mcFvj8qDVfE,Pop,"MEX, COL, ARG, CHI",,baile,11250,0,25,https://docs.google.com/spreadsheets/d/1V5AYn1o4x8IOfSx2pTi2Vnx6YuzTQoYh65n0jLUG1NA/edit?gid=1012277345#gid=1012277345,20,0,0,0,0,,USD,,,,,,Done,https://www.canva.com/design/DAG93jteAx8/pAgZ9SOknEiGPDuxc9gnEw/edit?utm_content=DAG93jteAx8&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,"Juan Meza Feb 7, 2026 5:04 PM",2026-01-07,,2026-01-07,2026-01-08,2026-01-09,2026-01-09,2026-01-25,,,,"9 - Declined, 8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed",20,20,100%,2865636,137599,5.2,109,4.8,189598736,79730684,53434897807,5922,,,,
"Bruno Mars ""New Release"" BR",Recently Completed,valentina.semprun@influur.com,Margarita Cárdenas,Camila Parra,Steven Campos,1/12/2026,1/23/2026,10000,7500,25%,Warner Regional Latam,11,,https://docs.google.com/spreadsheets/d/1UdKHJAEmJThAm1mlIY0__s2WpzgTcS-yxTO3hrF1N-g/edit?usp=sharing,"influur | Bruno Mars ""New Release"" BR - https://music.influur.com/promote/b5bfdc74-1248-4946-8a44-f2e62ef292f8/share?token=zk48Mw2SNEChhHeePlLPE2-ikOem9m-AYmX-dR8uvJw",Pop,BR,,baile,7500,0,25,,0,11,0,0,0,,USD,,,,1,,,,,"Juan Meza Feb 7, 2026 5:04 PM",2026-01-07,,2026-01-07,2026-01-08,2026-01-12,2026-01-12,2026-01-25,,,,"8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 3 - In Progress, 8 - Completed, 8 - Completed",11,10,90.91%,770000,36500,13,274,4.7,189598736,79730684,53441896722,5947,,,,
"Alejandro Sanz | Campaña ""¿Y ahora qué +?"" | Unboxing",Recently Completed,Juan Val,Camila Palacio Torne,Camila Parra,Steven Campos,12/15/2025,1/24/2026,4875,2963,39.22%,SONY MUSIC ENT. ESPAÑA S.L,2,,https://docs.google.com/spreadsheets/d/1G2ObNbe4Y-Y2OSzli-YMpvvkJHe4v_BiQY8JjK0ZVWo/edit?gid=1411714240#gid=1411714240,https://music.influur.com/promote/60f670f2-9697-4beb-9842-7364fbd7876a/share?token=udfJ1snk-5kHv-z5Y5_7z85OPBQGy12VotpLEgnPnek,Balada Pop,ESP,,unboxing,3900,0,20,,2,1,0,0,0,,USD,,,,,,,,,"Juan Meza Jan 29, 2026 10:06 AM",2025-12-01,,2025-12-01,2025-12-04,2025-12-11,2025-12-15,2026-01-26,,,,"8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed",3,3,100%,243696,2250,20,2167,0.9,189598736,79730684,50870478599,5831,,,,
"Lencho ""Chiclona"" Fase 2",Recently Completed,Juan Val,Camila Palacio Torne,Polina Andrieieva,Steven Campos,1/19/2026,1/27/2026,2800,2250,19.64%,Sony Music Mexico,6,,https://docs.google.com/spreadsheets/d/1GzVf8oU9wIZz0LriteC0HsrsQLQrZKcaPTrow6D-6MY/edit?gid=1900868459#gid=1900868459,https://music.cobrand.com/promote/2a6f8589-00c9-4522-8500-803409d1b6fd/?oid=1c20fb6e-c5b0-4dee-90c6-3132f049709c&aid=&promotionId=2a6f8589-00c9-4522-8500-803409d1b6fd,Regional MX,MEX,,POV,2240,0,20,https://docs.google.com/spreadsheets/d/1KBwC4Pl88y2fBLRuPcLdcJRYT-UZWtoJCKLIopGhwV4/edit?usp=sharing,6,0,0,0,0,,USD,,,,,,,,,"Juan Meza Jan 29, 2026 10:50 AM",2026-01-14,,2026-01-14,2026-01-14,2026-01-19,2026-01-19,2026-01-28,,,,"8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed",6,6,100%,983902,132172,2.8,21,13.4,189598736,414817948,53818792274,5972,,,https://www.tiktok.com/@loopdance.ai/collection/CHICLONA-13-ENERO-7594638472321829639?is_from_webapp=1&sender_device=pc,
"Pole ""Punto Cero""",Recently Completed,Juan Val,Camila Palacio Torne,Camila Parra,Steven Campos,1/13/2026,1/29/2026,1740,1046,39.89%,"Sony Music Entertainment España, S.L.",3,,https://docs.google.com/spreadsheets/d/13Wo2KTlNs5_yLPzw0g1uJENAKPddqKncgdzTnjw1SR4/edit?gid=1798539384#gid=1798539384,https://music.influur.com/promote/401f886d-6c21-4311-a01f-b6645ab72cb4/share?token=xGq_89hGBJ5BSDuL-JOrS_afNRz8sBA3zAzG9dnPWbw,Urbano,ESP,,"Reviewers, Explainers",1392,0,20,,2,0,0,0,0,,USD,,,,,,,,,"Juan Meza Jan 30, 2026 9:36 AM",2026-01-08,,2026-01-08,2026-01-09,2026-01-12,2026-01-13,2026-01-30,,,,"8 - Completed, 8 - Completed, 9 - Canceled",2,2,100%,9120,730,190.8,2384,8,189598736,79730684,53434739310,5942,,,,
"Bruno Mars ""I just might"" Key Talent",Recently Completed,Genesis Martinez,Margarita Cárdenas,Camila Parra,Steven Campos,1/23/2026,1/29/2026,4900,3920,20%,Warner Regional Latam,3,,https://docs.google.com/spreadsheets/d/1iPrfLH18C99AXVpyeNJTWw20oc4YVB-HsiWOOb-mcLY/edit?usp=sharing,https://music.influur.com/promote/2f2a2846-8fd8-4c54-8a67-b5733b743f9b/share?token=pnaUi5eQrCYINapngphNyHFlMu5XgrBBvG7gpQcQEZw,Pop,"MX, BR, CL & AR",,baile,3920,0,20,,2,2,0,0,0,,USD,,,,1,,,,,"Esteban Calderon Jan 30, 2026 2:15 PM",2026-01-22,,2026-01-22,2026-01-22,2026-01-23,2026-01-23,2026-01-30,,,,"9 - Canceled, 9 - Canceled, 9 - Canceled, 8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed",4,4,100%,1363377,63200,3.6,78,4.6,189598736,79730684,54352277912,5998,,,,
"Elena Rose ""Alma"" - 2016 Trend",Recently Completed,valentina.semprun@influur.com,Margarita Cárdenas,Camila Parra,Steven Campos,1/15/2026,1/29/2026,10000,8000,20%,Warner Regional Latam,8,,https://docs.google.com/spreadsheets/d/1q9i_iX7RqV_r6WvHS4Xig6CVsXWfs7H-z5kqAGR-4nQ/edit?usp=sharing,https://music.influur.com/promote/b33ce80e-92a0-4f18-931b-5563a338a6a3/share?token=P0uJVWYp85HG4-cb1jtHKT0w5z0IlJgyhcDKj3blFbA,pop latino,"CHI, COL & MX",,,8000,0,20,,8,0,0,0,0,,USD,,,,1,,,,,"Juan Meza Feb 7, 2026 5:04 PM",2026-01-15,,2026-01-15,2026-01-15,2026-01-15,2026-01-15,2026-01-31,,,,"8 - Completed, 9 - Canceled, 9 - Canceled, 9 - Canceled, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed",8,8,100%,14428395,1276289,0.7,8,8.8,189598736,79730684,54010472278,5957,,,,
"Kenia Os ""Belladona""",Recently Completed,Genesis Martinez,Camila Palacio Torne,Camila Parra,Steven Campos,1/20/2026,1/30/2026,15000,11200,25.33%,"5020 Records, Sony Music",13,,https://docs.google.com/spreadsheets/d/1RkgO4GlILz3JznpJ1RhKxq03UDfGdjjBaux4nuuYd-U/edit?usp=sharing,https://music.cobrand.com/promote/bfb81f5c-a7d8-46d2-90c8-99d563a27a1d/?oid=1c20fb6e-c5b0-4dee-90c6-3132f049709c&aid=&promotionId=bfb81f5c-a7d8-46d2-90c8-99d563a27a1d,pop urbano,US LATIN,,Lip-sync,11250,0,25,,13,0,0,0,0,,USD,,,,,,,,,"Federico Endrek Feb 2, 2026 10:51 AM",2026-01-08,,2026-01-08,2026-01-12,2026-01-20,2026-01-20,2026-02-02,,,,"8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 9 - Canceled, 9 - Canceled, 9 - Canceled, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed",13,13,100%,1267826,125800,11.8,119,9.9,189598736,79730684,53466542237,5983,,,,
